iter	Passed	Remaining
0	24	74937
1	50	76212
2	74	74720
3	95	71711
4	120	71993
5	144	72080
6	168	72153
7	195	73173
8	220	73335
9	243	72891
10	267	72686
11	292	72805
12	314	72274
13	336	71842
14	362	72092
15	384	71616
16	409	71851
17	432	71587
18	456	71626
19	477	71129
20	498	70714
21	524	71035
22	544	70497
23	568	70432
24	592	70482
25	613	70159
26	638	70302
27	662	70330
28	688	70537
29	711	70452
30	733	70225
31	754	69990
32	781	70265
33	808	70527
34	830	70386
35	856	70490
36	882	70664
37	905	70599
38	931	70687
39	958	70902
40	988	71332
41	1019	71813
42	1052	72374
43	1080	72579
44	1101	72347
45	1124	72193
46	1148	72173
47	1173	72172
48	1197	72102
49	1222	72148
50	1246	72050
51	1273	72200
52	1305	72576
53	1329	72544
54	1357	72680
55	1383	72753
56	1413	72965
57	1438	72960
58	1463	72927
59	1489	73007
60	1515	73002
61	1547	73308
62	1576	73499
63	1598	73346
64	1625	73413
65	1652	73440
66	1680	73564
67	1703	73469
68	1729	73466
69	1754	73448
70	1783	73567
71	1810	73616
72	1837	73664
73	1863	73664
74	1886	73562
75	1915	73707
76	1940	73669
77	1964	73600
78	1991	73645
79	2020	73757
80	2045	73726
81	2069	73655
82	2097	73722
83	2121	73653
84	2146	73596
85	2169	73524
86	2195	73497
87	2219	73452
88	2245	73458
89	2271	73439
90	2299	73520
91	2322	73420
92	2347	73367
93	2371	73309
94	2396	73297
95	2419	73200
96	2445	73174
97	2471	73195
98	2497	73192
99	2520	73099
100	2550	73207
101	2573	73126
102	2600	73143
103	2628	73183
104	2655	73221
105	2679	73156
106	2707	73210
107	2731	73134
108	2756	73106
109	2784	73166
110	2805	73029
111	2831	73010
112	2858	73035
113	2883	73003
114	2909	72987
115	2934	72965
116	2959	72925
117	2985	72915
118	3008	72847
119	3041	72997
120	3069	73027
121	3093	72966
122	3119	72963
123	3142	72889
124	3165	72795
125	3190	72766
126	3215	72729
127	3239	72679
128	3264	72648
129	3289	72624
130	3314	72588
131	3337	72523
132	3362	72476
133	3388	72468
134	3413	72438
135	3439	72431
136	3466	72437
137	3491	72417
138	3517	72398
139	3545	72429
140	3569	72370
141	3593	72327
142	3620	72334
143	3646	72327
144	3670	72277
145	3693	72192
146	3719	72186
147	3744	72160
148	3770	72153
149	3795	72121
150	3820	72079
151	3845	72059
152	3869	72009
153	3894	71980
154	3919	71934
155	3943	71902
156	3970	71892
157	3996	71882
158	4024	71901
159	4054	71960
160	4083	72002
161	4107	71963
162	4130	71893
163	4158	71910
164	4183	71876
165	4206	71816
166	4235	71851
167	4262	71852
168	4288	71838
169	4313	71811
170	4338	71780
171	4361	71719
172	4385	71657
173	4409	71609
174	4435	71594
175	4460	71576
176	4483	71515
177	4508	71472
178	4539	71537
179	4562	71485
180	4587	71444
181	4611	71397
182	4637	71382
183	4662	71354
184	4688	71339
185	4712	71302
186	4738	71273
187	4765	71283
188	4792	71277
189	4818	71268
190	4843	71234
191	4868	71204
192	4894	71188
193	4918	71144
194	4944	71125
195	4969	71096
196	4992	71031
197	5017	71009
198	5046	71029
199	5070	70983
200	5101	71034
201	5127	71018
202	5154	71016
203	5179	70993
204	5203	70942
205	5228	70917
206	5254	70891
207	5285	70944
208	5312	70941
209	5336	70896
210	5362	70884
211	5387	70847
212	5409	70784
213	5431	70706
214	5454	70655
215	5478	70612
216	5500	70546
217	5525	70509
218	5551	70499
219	5573	70434
220	5595	70366
221	5621	70346
222	5645	70305
223	5672	70299
224	5695	70245
225	5718	70196
226	5743	70167
227	5768	70137
228	5802	70206
229	5827	70187
230	5851	70142
231	5878	70139
232	5905	70128
233	5930	70097
234	5957	70092
235	5982	70067
236	6007	70035
237	6033	70018
238	6058	69993
239	6086	69992
240	6114	69998
241	6141	69991
242	6171	70016
243	6199	70021
244	6227	70024
245	6253	70003
246	6282	70022
247	6311	70032
248	6336	70009
249	6362	69990
250	6386	69947
251	6411	69919
252	6437	69899
253	6462	69866
254	6487	69839
255	6515	69836
256	6545	69864
257	6572	69848
258	6598	69835
259	6627	69847
260	6651	69803
261	6678	69789
262	6705	69780
263	6731	69767
264	6755	69722
265	6781	69702
266	6806	69672
267	6834	69668
268	6854	69590
269	6878	69546
270	6901	69499
271	6928	69491
272	6954	69472
273	6977	69419
274	7003	69399
275	7028	69372
276	7058	69386
277	7083	69357
278	7109	69336
279	7136	69326
280	7162	69303
281	7186	69265
282	7214	69259
283	7239	69235
284	7263	69192
285	7294	69218
286	7318	69180
287	7339	69116
288	7367	69110
289	7389	69051
290	7413	69010
291	7438	68983
292	7463	68954
293	7489	68932
294	7512	68884
295	7536	68846
296	7561	68814
297	7584	68773
298	7614	68784
299	7638	68746
300	7663	68720
301	7688	68683
302	7712	68644
303	7737	68615
304	7760	68574
305	7786	68553
306	7815	68561
307	7837	68503
308	7862	68471
309	7889	68460
310	7913	68420
311	7937	68384
312	7965	68378
313	7990	68355
314	8016	68333
315	8045	68332
316	8069	68295
317	8094	68269
318	8118	68228
319	8148	68242
320	8177	68245
321	8204	68234
322	8230	68217
323	8255	68185
324	8281	68161
325	8309	68161
326	8334	68130
327	8361	68113
328	8388	68103
329	8417	68101
330	8439	68049
331	8466	68039
332	8491	68007
333	8517	67987
334	8544	67973
